scene_id,animal,relation,reference,asset_path,width,height,mode,sha256
scene.prepositions.snake.on,snake,on,rock,Prepositions/scenes/scene_prepositions_snake_on.png,1448,1086,RGB,6b0f7e46ec05336b8730c6b7e61324d69c59a7de69f16461e0149eecf39108d7
scene.prepositions.dinosaur.on,dinosaur,on,rock,Prepositions/scenes/scene_prepositions_dinosaur_on.png,1448,1086,RGB,d9889338b6b7c303f7ae236b66412f57c0dfe71f67c2de7b4eff59650cb0dd8d
scene.prepositions.dragon.on,dragon,on,rock,Prepositions/scenes/scene_prepositions_dragon_on.png,1448,1086,RGB,afa8c25d497d7269cc675552e49c1fbbdea47b8ed5cb7421c62e2b0c8e7cad99
scene.prepositions.crocodile.on,crocodile,on,rock,Prepositions/scenes/scene_prepositions_crocodile_on.png,1448,1086,RGB,936e67cb38084d27be361848e3d62880175f94d63792417b68295f9833f3f944
scene.prepositions.snake.under,snake,under,table,Prepositions/scenes/scene_prepositions_snake_under.png,1448,1086,RGB,2fec11a3ee266be9a5e3fbabbc4aa0b36987c44f849f43c0947f4ac0671da48b
scene.prepositions.dinosaur.under,dinosaur,under,table,Prepositions/scenes/scene_prepositions_dinosaur_under.png,1448,1086,RGB,f5a31c469dc65c32d2515842d6b26ed9db9433ef780a805de8b12a9c64b78937
scene.prepositions.dragon.under,dragon,under,table,Prepositions/scenes/scene_prepositions_dragon_under.png,1448,1086,RGB,a2ed002d5717c94ed90217ea85f65fbd54b5577ef69aa7fcc7137e289f7373ef
scene.prepositions.crocodile.under,crocodile,under,table,Prepositions/scenes/scene_prepositions_crocodile_under.png,1448,1086,RGB,f27d29b6e3b0e98375e66d68e369a1e9fe9605f03ec985f759e391e5856def8c
scene.prepositions.snake.behind,snake,behind,rock,Prepositions/scenes/scene_prepositions_snake_behind.png,1448,1086,RGB,7b646112695ada8fdb4302dafd9fa2a9040b81935f5e5a202e5234094ae43f58
scene.prepositions.dinosaur.behind,dinosaur,behind,rock,Prepositions/scenes/scene_prepositions_dinosaur_behind.png,1448,1086,RGB,606ad6da85a7e21f67ffff9bb9323a699b16c4e3d52b9fc266759d18b9ea2681
scene.prepositions.dragon.behind,dragon,behind,rock,Prepositions/scenes/scene_prepositions_dragon_behind.png,1448,1086,RGB,58f24962e8fb5590f6faf39eb9e5404b3ca4302b578acee96d412ad32660a46d
scene.prepositions.crocodile.behind,crocodile,behind,rock,Prepositions/scenes/scene_prepositions_crocodile_behind.png,1448,1086,RGB,cf533eeed617a4e095edfc7c9f2ba6c7b03f2050059aa9454f85e2a7a370b3ec
scene.prepositions.snake.next_to,snake,next_to,rock,Prepositions/scenes/scene_prepositions_snake_next_to.png,1448,1086,RGB,72addcf37b5538e910ebae51e188afc2babab6a94548ade971dead1a9a910346
scene.prepositions.dinosaur.next_to,dinosaur,next_to,rock,Prepositions/scenes/scene_prepositions_dinosaur_next_to.png,1448,1086,RGB,f37621e923ed5a6a1e5b62953e8a03a4ce7be65e0b68be213ee424b077af1503
scene.prepositions.dragon.next_to,dragon,next_to,rock,Prepositions/scenes/scene_prepositions_dragon_next_to.png,1448,1086,RGB,035c00678f82c4722f44ca174d096dd5cede5519d3ecabad89b4642e76ba0306
scene.prepositions.crocodile.next_to,crocodile,next_to,rock,Prepositions/scenes/scene_prepositions_crocodile_next_to.png,1448,1086,RGB,6344e29654cc468ded95f0f828a839cc1c3873c7e61359271ff7a4a5bd5eb34c
scene.prepositions.snake.in,snake,in,box,Prepositions/scenes/scene_prepositions_snake_in.png,1448,1086,RGB,e62b6d33a28afbba60a2ba72ee6845562a5a60ef523b557225f104d199d3bd70
scene.prepositions.dinosaur.in,dinosaur,in,box,Prepositions/scenes/scene_prepositions_dinosaur_in.png,1448,1086,RGB,113d1594296fcf8c123dc1ee66936543d719c7087d5b8ffbe05b2b9482bb14f8
scene.prepositions.dragon.in,dragon,in,box,Prepositions/scenes/scene_prepositions_dragon_in.png,1448,1086,RGB,b6427f52091db09fe21a7b3d291588f2524f9d75d6e12766be7102b2935a7b5f
scene.prepositions.crocodile.in,crocodile,in,box,Prepositions/scenes/scene_prepositions_crocodile_in.png,1448,1086,RGB,c46922bc7533b16e1d1fb76a4a4a8e4352e0eaf0dd534441949e460d52f7bf9b
scene.prepositions.snake.between,snake,between,two rocks,Prepositions/scenes/scene_prepositions_snake_between.png,1448,1086,RGB,ecdb3e1345cad2d827cd10e8dc6d94fb8f5ade1c32d85981058b952b6236a5f1
scene.prepositions.dinosaur.between,dinosaur,between,two rocks,Prepositions/scenes/scene_prepositions_dinosaur_between.png,1448,1086,RGB,48fda61a3abc41ffe9425d0e4c17d7b7b8f594f2eac4b609f7152f45e9396721
scene.prepositions.dragon.between,dragon,between,two rocks,Prepositions/scenes/scene_prepositions_dragon_between.png,1448,1086,RGB,158e2ba4a1495cc961c197a5570e575f263e6b32975cce89032d9f9cc6e1a415
scene.prepositions.crocodile.between,crocodile,between,two rocks,Prepositions/scenes/scene_prepositions_crocodile_between.png,1448,1086,RGB,9cedc85ad11bf9a22ef903627120bc6597248c010c5239a9c4983351167f114d
scene.prepositions.bird.above,bird,above,cloud,Prepositions/scenes/scene_prepositions_bird_above.png,1448,1086,RGB,b81f81b818eb7b11d43d069afc6176e7247f4b1cce9493d2cf20c351d68af377
